status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,13.0,4.0,0.2,Utuado,Puerto Rico,641.0,600.0,,99000
for_sale,,,1.18,Christiansted,Virgin Islands,820.0,,,249000
for_sale,3.0,2.0,,San Juan,Puerto Rico,915.0,1106.0,,180000
for_sale,4.0,2.0,0.23,Trujillo Alto,Puerto Rico,976.0,2068.0,,550000
for_sale,,6.0,0.11,San Juan,Puerto Rico,926.0,5482.0,,396000
for_sale,6.0,2.0,0.09,Guaynabo,Puerto Rico,969.0,1440.0,,185000
for_sale,3.0,3.0,,San Juan,Puerto Rico,907.0,2497.0,,3300000
for_sale,3.0,2.0,0.43,Rincon,Puerto Rico,677.0,1500.0,,389000
for_sale,,,8.9,Orocovis,Puerto Rico,720.0,,,155000
for_sale,2.0,1.0,,San Juan,Puerto Rico,907.0,702.0,,317000
for_sale,2.0,2.0,0.07,Vieques,Puerto Rico,765.0,1091.0,,225000
for_sale,3.0,2.0,,Guaynabo,Puerto Rico,969.0,1146.0,,111000
for_sale,3.0,2.0,0.09,Cayey,Puerto Rico,736.0,1186.0,,217000
for_sale,3.0,2.0,0.13,San Juan,Puerto Rico,926.0,1528.0,,225000
for_sale,,,0.2,Dorado,Puerto Rico,646.0,,,879000
for_sale,7.0,5.0,0.08,San Juan,Puerto Rico,920.0,2000.0,,210000
for_sale,2.0,1.0,,San Juan,Puerto Rico,921.0,1053.0,,145000
for_sale,5.0,3.0,0.48,San Lorenzo,Puerto Rico,754.0,1945.0,,135000
for_sale,4.0,1.0,0.12,Fajardo,Puerto Rico,738.0,760.0,,90900
for_sale,3.0,2.0,,Ponce,Puerto Rico,716.0,1148.0,,115000
for_sale,,,11.0,Arecibo,Puerto Rico,612.0,,,119900
for_sale,6.0,3.0,0.09,Arecibo,Puerto Rico,612.0,2472.0,,79000
for_sale,4.0,3.0,0.08,Bayamon,Puerto Rico,783.0,1245.0,,138000
for_sale,3.0,1.0,,Vega Alta,Puerto Rico,692.0,805.0,,66500
for_sale,3.0,2.0,0.08,Bayamon,Puerto Rico,956.0,1050.0,,95000
for_sale,2.0,2.0,0.03,Ciales,Puerto Rico,,1111.0,,82700
for_sale,3.0,3.0,0.64,Christiansted,Virgin Islands,820.0,,,1645000
for_sale,3.0,2.0,0.04,San Juan,Puerto Rico,901.0,3176.0,,1600000
for_sale,3.0,2.0,,Trujillo Alto,Puerto Rico,976.0,998.0,,91000
for_sale,7.0,5.0,0.5,Caguas,Puerto Rico,725.0,3312.0,,302400
for_sale,3.0,2.0,,San Juan,Puerto Rico,926.0,1250.0,,245000
for_sale,6.0,2.0,8.42,Vega Baja,Puerto Rico,693.0,1170.0,,79000
for_sale,4.0,3.0,0.18,Guaynabo,Puerto Rico,966.0,7653.0,,525000
for_sale,3.0,2.0,0.57,Guayama,Puerto Rico,784.0,1000.0,,67000
for_sale,4.0,4.0,,San Juan,Puerto Rico,901.0,3900.0,,3500000
for_sale,3.0,2.0,,Guaynabo,Puerto Rico,969.0,1108.0,,150000
for_sale,3.0,2.0,,Toa Baja,Puerto Rico,949.0,2572.0,,128000
for_sale,,,118.79,Christiansted,Virgin Islands,820.0,,,945000
for_sale,3.0,2.0,0.33,Gurabo,Puerto Rico,794.0,1190.0,,204000
for_sale,2.0,2.0,0.75,Christiansted,Virgin Islands,820.0,,,529500
for_sale,3.0,1.0,,Carolina,Puerto Rico,987.0,1032.0,,86000
for_sale,6.0,6.0,1.07,Naranjito,Puerto Rico,719.0,1830.0,,220000
for_sale,3.0,2.0,0.09,Bayamon,Puerto Rico,959.0,991.0,,103000
for_sale,4.0,2.0,0.08,Humacao,Puerto Rico,791.0,1000.0,,81700
for_sale,3.0,2.0,0.15,San Juan,Puerto Rico,926.0,1100.0,,180000
for_sale,3.0,1.0,0.2,Ciales,Puerto Rico,639.0,2040.0,,50000
for_sale,,,0.34,Saint Thomas,Virgin Islands,802.0,,,115000
for_sale,6.0,2.0,0.11,Bayamon,Puerto Rico,957.0,2100.0,,190000
for_sale,2.0,1.0,0.09,Toa Baja,Puerto Rico,949.0,1035.0,,55000
for_sale,5.0,3.0,3.39,Caguas,Puerto Rico,927.0,2102.0,,218500
for_sale,3.0,1.0,0.04,Bayamon,Puerto Rico,956.0,813.0,,115000
for_sale,3.0,1.0,0.1,Ponce,Puerto Rico,728.0,1100.0,,95000
for_sale,,,0.26,Cidra,Puerto Rico,739.0,,,50000
for_sale,3.0,1.0,0.07,San Juan,Puerto Rico,907.0,1374.0,,66500
for_sale,3.0,2.0,0.24,Kingshill,Virgin Islands,850.0,,,325000
for_sale,6.0,3.0,0.09,Arecibo,Puerto Rico,612.0,2472.0,,79000
for_sale,3.0,2.0,0.13,Naranjito,Puerto Rico,719.0,981.0,,62000
for_sale,4.0,3.0,0.29,Christiansted,Virgin Islands,820.0,,,165000
for_sale,3.0,2.0,0.55,Cidra,Puerto Rico,739.0,913.0,,110000
for_sale,2.0,2.0,,San Juan,Puerto Rico,925.0,900.0,,99000
for_sale,3.0,1.0,0.16,Cayey,Puerto Rico,737.0,800.0,,90000
for_sale,2.0,1.0,,Guaynabo,Puerto Rico,921.0,1800.0,,115000
for_sale,2.0,2.0,0.04,Guayama,Puerto Rico,784.0,749.0,,55000
for_sale,3.0,2.0,1.17,Ciales,Puerto Rico,638.0,1000.0,,89000
for_sale,3.0,1.0,0.06,Caguas,Puerto Rico,725.0,868.0,,69000
for_sale,1.0,1.0,,Carolina,Puerto Rico,979.0,691.0,,350000
for_sale,7.0,6.0,1.08,San Juan,Puerto Rico,969.0,7246.0,,3200000
for_sale,3.0,1.0,1.12,Vega Alta,Puerto Rico,694.0,850.0,,268000
for_sale,,,0.51,Saint John,Virgin Islands,830.0,,,350000
for_sale,3.0,2.0,0.08,Aguada,Puerto Rico,602.0,1200.0,,265000
for_sale,3.0,1.0,0.08,Santa Isabel,Puerto Rico,757.0,683.0,,67000
for_sale,6.0,4.0,,Arecibo,Puerto Rico,612.0,2200.0,,81900
for_sale,,,0.06,Christiansted,Virgin Islands,820.0,,,135000
for_sale,,,0.13,Guaynabo,Puerto Rico,,2000.0,,560000
for_sale,3.0,1.0,0.06,San Juan,Puerto Rico,921.0,730.0,,76600
for_sale,,,3.57,Cabo Rojo,Puerto Rico,623.0,,,275000
for_sale,2.0,3.0,0.5,Saint John,Virgin Islands,830.0,2771.0,,2000000
for_sale,,,0.74,Carolina,Puerto Rico,979.0,18000.0,,5000000
for_sale,5.0,4.0,0.04,San Juan,Puerto Rico,901.0,3745.0,,2900000
for_sale,3.0,2.0,0.09,Juncos,Puerto Rico,777.0,1160.0,,120000
for_sale,4.0,2.0,0.08,Humacao,Puerto Rico,791.0,1400.0,,161000
for_sale,3.0,2.0,,San Juan,Puerto Rico,926.0,1581.0,,169000
for_sale,6.0,7.0,0.52,San Juan,Puerto Rico,927.0,4655.0,,1800000
for_sale,,,0.45,Christiansted,Virgin Islands,820.0,,,64000
for_sale,3.0,2.0,,Guaynabo,Puerto Rico,969.0,1366.0,,170000
for_sale,5.0,2.0,0.32,Mayaguez,Puerto Rico,680.0,1500.0,,55000
for_sale,3.0,1.0,0.1,Bayamon,Puerto Rico,956.0,1000.0,,149000
for_sale,4.0,4.0,0.58,Saint John,Virgin Islands,830.0,4409.0,,1890000
for_sale,2.0,1.0,0.19,Vega Baja,Puerto Rico,692.0,959.0,,59000
for_sale,3.0,3.0,0.1,Cayey,Puerto Rico,736.0,1700.0,,190000
for_sale,3.0,2.0,,Bayamon,Puerto Rico,961.0,1453.0,,135000
for_sale,3.0,2.0,,Bayamon,Puerto Rico,961.0,1102.0,,102000
for_sale,6.0,4.0,0.12,San Juan,Puerto Rico,911.0,2295.0,,1820000
for_sale,4.0,3.0,0.36,Toa Alta,Puerto Rico,953.0,,,146995
for_sale,,,0.14,Saint Thomas,Virgin Islands,802.0,,,300000
for_sale,7.0,4.0,0.12,Cayey,Puerto Rico,736.0,3800.0,,210000
